qid,pid,score
1108939,2846462,-19.72094460896514
1108939,6669588,-19.737058118717446
1108939,7724054,-19.974163273058913
1108939,6758075,-20.008645116353566
1108939,4104109,-20.13894982550681
1108939,6707713,-20.150718574775322
1108939,119359,-20.48696910101733
1108939,7577156,-20.54468428667834
1108939,2044726,-20.61751292705204
1108939,1835131,-20.667332384825936
1108939,2405827,-20.710022998167066
1108939,6273537,-20.731849409005477
1108939,8027461,-20.733797237873375
1108939,7152561,-20.740463412502073
1108939,1053672,-20.844174994583685
1108939,140444,-20.858438448926925
1108939,7634011,-20.920551048919712
1108939,7889053,-20.920551048919712
1108939,140445,-20.920551048919712
1108939,5698642,-20.92682567720908
1108939,841371,-20.963425464528946
1108939,6327128,-20.984354720019834
1108939,7491705,-21.051315015194493
1108939,4036414,-21.102389269774086
1108939,3259017,-21.130588477924487
1108939,5553585,-21.219816675735117
1108939,7564444,-21.24778342298832
1108939,6707716,-21.25165849892124
1108939,4374720,-21.2686742106387
1108939,4568144,-21.277845868830436
1108939,7651010,-21.282263449396222
1108939,6388082,-21.3929415027825
1108939,7698352,-21.464533193072
1108939,1448805,-21.482588724797886
1108939,3445023,-21.55099814655485
1108939,7000936,-21.57219973764797
1108939,160716,-21.620890682958844
1108939,6529622,-21.638856593258424
1108939,6707715,-21.64069962805763
1108939,3923907,-21.66865063360582
1108939,5794106,-21.66865063360582
1108939,5291621,-21.68557578043213
1108939,8620089,-21.736044767465053
1108939,4100158,-21.752866133197266
1108939,6822520,-21.76209610052491
1108939,5163856,-21.797464177901205
1108939,8065642,-21.807373004008248
1108939,3130232,-21.815893255259684
1108939,3004816,-21.81936962822372
1108939,3466273,-21.84009600099898
1108939,5614793,-21.895962503989608
1108939,528262,-21.89831628832695
1108939,4036410,-21.919376314739868
1108939,6238857,-21.945650529094394
1108939,3832666,-21.950956169810585
1108939,7640797,-21.979491000135646
1108939,2764268,-21.98648820275187
1108939,528263,-21.990911527163135
1108939,4799672,-22.006230761901488
1108939,2194177,-22.009345657981545
1108939,8418430,-22.032795781151282
1108939,2068541,-22.059778116155822
1108939,7423808,-22.108362720572448
1108939,8476367,-22.121343467864605
1108939,3317049,-22.121950216705695
1108939,6871640,-22.136108193917792
1108939,4631244,-22.139088901673688
1108939,8181777,-22.199803322804943
1108939,1460267,-22.203059606801865
1108939,8754942,-22.20417483390436
1108939,8754942,-22.20417483390436
1108939,3549439,-22.20417483390436
1108939,5460121,-22.20417483390436
1108939,5970931,-22.210012076633472
1108939,7575369,-22.231046125803587
1108939,5615065,-22.265500746117855
1108939,698449,-22.275703150580163
1108939,5010667,-22.2786068240751
1108939,1957452,-22.293495278339787
1108939,6551140,-22.307064363820018
1108939,3280282,-22.326132099525157
1108939,3398735,-22.326132099525157
1108939,1546131,-22.3475829832932
1108939,7264458,-22.34890989716885
1108939,2453260,-22.34890989716885
1108939,6950182,-22.353003391424384
1108939,1231448,-22.371581387999555
1108939,8596285,-22.373116243765047
1108939,3004441,-22.405044686703235
1108939,5203394,-22.41288434665796
1108939,6663340,-22.41288434665796
1108939,7880690,-22.41288434665796
1108939,5654411,-22.414360486904226
1108939,7274049,-22.416938157447742
1108939,1546127,-22.419526670553697
1108939,2735037,-22.43122563283435
1108939,6559817,-22.455915591113158
1108939,1742847,-22.472056634892976
1108939,3283059,-22.498170427921007
1108939,5300406,-22.503665541809706
1112389,5892677,-19.420185142466135
1112389,8138765,-19.429325463472665
1112389,4931198,-19.454655171821578
1112389,4337251,-19.982943992979433
1112389,8138768,-20.121107276019025
1112389,5892681,-20.570051515427902
1112389,8138763,-20.979637127767337
1112389,8138769,-21.101712997660687
1112389,8138767,-21.20331968937611
1112389,4337253,-21.26866627169435
1112389,8138766,-21.35657816445791
1112389,4931197,-21.582455551993935
1112389,5892684,-21.60179061199291
1112389,3831528,-21.66196851376617
1112389,3831522,-21.66196851376617
1112389,5892680,-21.94182526651102
1112389,5892682,-22.086901092639646
1112389,952750,-22.695440278076006
1112389,7181880,-22.8046405135116
1112389,5728639,-22.938364460129648
1112389,7651152,-22.939612961651047
1112389,4355897,-23.251794611221538
1112389,4931195,-23.352802759158486
1112389,6064417,-23.371640024687295
1112389,8634010,-23.42790300605938
1112389,6148294,-23.446538624376725
1112389,3616675,-23.540022026670638
1112389,4321821,-23.590113937134948
1112389,164786,-23.632991394163334
1112389,4790809,-23.68777831046586
1112389,5486122,-23.723542702650615
1112389,6199120,-23.723705318604292
1112389,6780774,-23.77778555208273
1112389,6064419,-23.850758335301936
1112389,6064420,-23.850758335301936
1112389,6064418,-23.850758335301936
1112389,6780773,-23.868439343610717
1112389,5942428,-23.890956080120315
1112389,7523036,-24.045679977642198
1112389,6082981,-24.074934446842025
1112389,4355896,-24.074934446842025
1112389,5800763,-24.074934446842025
1112389,7523038,-24.10703044060127
1112389,7523034,-24.167637243262995
1112389,2959506,-24.169027371750534
1112389,7964196,-24.186847725297778
1112389,2639251,-24.206540557984255
1112389,6199113,-24.242861969742375
1112389,1007615,-24.282148195759145
1112389,3904149,-24.2828779186382
1112389,2622738,-24.28480048347955
1112389,5984848,-24.348813013363323
1112389,7523035,-24.3580673054609
1112389,6199119,-24.38238909080623
1112389,3699518,-24.38238909080623
1112389,6199121,-24.38238909080623
1112389,6766060,-24.38903248575758
