qid,pid,score
1108939,7577156,-16.709488196904317
1108939,2846462,-16.736293916593194
1108939,2555774,-17.111879822062456
1108939,7651010,-17.221377634268084
1108939,1448805,-17.382921081518248
1108939,7724054,-17.42466437309086
1108939,1053672,-17.45491342767255
1108939,6669588,-17.479129290916674
1108939,7121296,-17.633184873684502
1108939,119359,-17.738943312977206
1108939,5291621,-17.76270740624724
1108939,1835131,-17.77238584827997
1108939,8841203,-17.774426991987934
1108939,8630525,-17.889907852536858
1108939,8630519,-17.889907852536858
1108939,4104109,-17.949947730550658
1108939,6273537,-17.953565090550196
1108939,5553585,-18.027125263012703
1108939,3045418,-18.02958439205016
1108939,6327128,-18.035683604465437
1108939,4036410,-18.12840807973893
1108939,25753,-18.141623508284273
1108939,1957452,-18.213336006527204
1108939,7000936,-18.272350519135117
1108939,140444,-18.297343067625842
1108939,3308905,-18.335683637602028
1108939,2342213,-18.335683637602028
1108939,2044726,-18.396673232229908
1108939,1546131,-18.421054156912984
1108939,7634011,-18.460756304777636
1108939,7889053,-18.460756304777636
1108939,140445,-18.460756304777636
1108939,160716,-18.538978117358404
1108939,4006310,-18.54410413872224
1108939,4150723,-18.54410413872224
1108939,7454708,-18.547579752446335
1108939,2662003,-18.567860333521537
1108939,6761383,-18.567860333521537
1108939,6761383,-18.567860333521537
1108939,6761383,-18.567860333521537
1108939,3678010,-18.567860333521537
1108939,1240073,-18.654754576443995
1108939,8027461,-18.673752427937757
1108939,1546127,-18.676211556975215
1108939,4631244,-18.676211556975215
1108939,4085789,-18.72514840436375
1108939,3036707,-18.915504112408208
1108939,6356913,-18.915504112408208
1108939,5970931,-18.918977684060167
1108939,4036414,-18.92120413029905
1108939,3971932,-18.946197121606527
1108939,7133882,-19.11790208335787
1108939,284799,-19.1403245474137
1108939,8511610,-19.183162182386965
1108939,7233459,-19.183162182386965
1108939,7617222,-19.183162182386965
1108939,7423808,-19.19420691737139
1108939,6047893,-19.21062655863136
1108939,8557131,-19.21062655863136
1108939,6758075,-19.2283454159834
1108939,5993578,-19.254516706791104
1108939,1456722,-19.30138174136905
1108939,4799672,-19.313239424312417
1108939,6024035,-19.31536843166179
1108939,6801457,-19.31536843166179
1108939,5337029,-19.31536843166179
1108939,2283963,-19.31536843166179
1108939,8418430,-19.31536843166179
1108939,6225010,-19.33566188836825
1108939,5659414,-19.33566188836825
1108939,4568144,-19.342802056918643
1108939,3367394,-19.371775569288804
1108939,7264458,-19.371775569288804
1108939,2453260,-19.371775569288804
1108939,6559817,-19.397486945577032
1108939,6238857,-19.46415716834766
1108939,5163856,-19.49021142085052
1108939,5443194,-19.49021142085052
1108939,7329468,-19.49021142085052
1108939,1440639,-19.53189294497069
1108939,8077365,-19.56560484898522
1108939,3445023,-19.567831295224103
1108939,1707951,-19.574350500563824
1108939,2490152,-19.574350500563824
1108939,6695217,-19.574350500563824
1108939,4417351,-19.574350500563824
1108939,3879586,-19.574350500563824
1108939,1773943,-19.574350500563824
1108939,7274049,-19.58367168413311
1108939,2298458,-19.59685044301062
1108939,981600,-19.59685044301062
1108939,7152561,-19.6149852541998
1108939,2536104,-19.63638030648559
1108939,2194177,-19.639000157536394
1108939,4374720,-19.643619060306673
1108939,5654411,-19.643981473552827
1108939,5415258,-19.659128163621627
1108939,1139027,-19.659128163621627
1108939,4031161,-19.659128163621627
1108939,4840638,-19.659128163621627
1112389,4337251,-16.10597808654518
1112389,5892684,-16.785266909588593
1112389,8138769,-17.16770957618685
1112389,6424161,-17.17645522776545
1112389,5892679,-17.17645522776545
1112389,2086174,-17.17645522776545
1112389,8060375,-17.24608620075446
1112389,4931198,-17.513484660683982
1112389,8204295,-17.715768529278154
1112389,3831528,-17.832403576259793
1112389,3831522,-17.832403576259793
1112389,2639251,-17.89271336567951
1112389,952750,-18.03158939015126
1112389,5892677,-18.11741808522157
1112389,8138768,-18.125861902565955
1112389,7006872,-18.156474048068187
1112389,841675,-18.156474048068187
1112389,3904149,-18.213336006527204
1112389,936024,-18.279812038609556
1112389,2086176,-18.279812038609556
1112389,1709038,-18.279812038609556
1112389,4072,-18.279812038609556
1112389,5892683,-18.279812038609556
1112389,8363369,-18.279812038609556
1112389,2086172,-18.279812038609556
1112389,936030,-18.279812038609556
1112389,6424167,-18.279812038609556
1112389,1213304,-18.514631964118188
1112389,7523035,-18.514631964118188
1112389,4321821,-18.529512917298444
1112389,6424159,-18.53653501746191
1112389,2662003,-18.567860333521537
1112389,6761383,-18.567860333521537
1112389,6761383,-18.567860333521537
1112389,6761383,-18.567860333521537
1112389,3678010,-18.567860333521537
1112389,7117139,-18.654754576443995
1112389,3616675,-18.689034723443196
1112389,6148294,-18.702725940307918
1112389,7211038,-18.75186046096493
1112389,7093155,-18.75186046096493
1112389,8138766,-18.77238362076678
1112389,643305,-18.915504112408208
1112389,4926767,-18.915504112408208
1112389,6684793,-18.915504112408208
1112389,953836,-18.915504112408208
1112389,7274260,-18.933568905483963
1112389,235022,-18.933568905483963
1112389,6816024,-18.933568905483963
1112389,8138765,-18.95224987236825
1112389,8060847,-18.997354308627774
1112389,1015766,-19.067681321838037
1112389,8634010,-19.0949858582924
1112389,7224177,-19.183162182386965
1112389,5892678,-19.183162182386965
1112389,2108371,-19.183162182386965
1112389,4214004,-19.183162182386965
1112389,7218150,-19.254516706791104
1112389,7120427,-19.295554485419636
1112389,392995,-19.30138174136905
1112389,3835495,-19.32283872190027
1112389,1357130,-19.32472121765005
1112389,5892681,-19.334173535718087
1112389,5974814,-19.371775569288804
1112389,7557314,-19.509775094860828
1112389,2560289,-19.509775094860828
1112389,7558109,-19.54297478367007
1112389,6351715,-19.574350500563824
1112389,2490152,-19.574350500563824
1112389,2172481,-19.574350500563824
1112389,1409477,-19.574350500563824
1112389,1467721,-19.574350500563824
1112389,6695217,-19.574350500563824
1112389,4417351,-19.574350500563824
1112389,7971541,-19.574350500563824
1112389,1773943,-19.574350500563824
1112389,1884917,-19.574350500563824
1112389,2306999,-19.574350500563824
1112389,7686444,-19.574350500563824
1112389,4284832,-19.5751393476388
1112389,1201423,-19.580196070409016
1112389,3637305,-19.580196070409016
1112389,3789190,-19.580196070409016
1112389,8138782,-19.59685044301062
1112389,8451301,-19.619272907066453
1112389,247769,-19.619272907066453
1112389,2146077,-19.643981473552827
1112389,5415258,-19.659128163621627
1112389,1139027,-19.659128163621627
1112389,4031161,-19.659128163621627
1112389,4840638,-19.659128163621627
1112389,3658050,-19.659128163621627
1112389,6780774,-19.68241073436768
1112389,4337253,-19.782154793939654
1112389,902455,-19.78285749802458
1112389,7198428,-19.78285749802458
1112389,8568158,-19.78285749802458
1112389,5984721,-19.79712768919365
1112389,7523033,-19.79712768919365
1112389,8060368,-19.854602099659214
792752,2510984,-6.185718595959096
792752,4006310,-6.316407441917157
792752,2490152,-6.391003036546507
792752,6695217,-6.391003036546507
792752,4417351,-6.391003036546507
792752,1773943,-6.391003036546507
792752,1316682,-6.547058653470059
792752,7843939,-6.62382374023533
792752,7843939,-6.62382374023533
792752,7843939,-6.62382374023533
792752,3699874,-6.62382374023533
792752,7460065,-6.62382374023533
792752,2004681,-6.62382374023533
792752,2004681,-6.62382374023533
792752,5646112,-6.62382374023533
792752,7048045,-6.674784183393826
792752,1483537,-6.70587220867888
792752,1483537,-6.70587220867888
792752,1483537,-6.70587220867888
792752,8075227,-6.70587220867888
792752,1945099,-6.72882152548378
792752,8189282,-6.771890634227807
792752,936024,-6.832345760884148
792752,7174016,-6.832345760884148
792752,4804582,-6.832345760884148
792752,7707248,-6.832345760884148
792752,7707248,-6.832345760884148
792752,7707248,-6.832345760884148
792752,7087848,-6.832345760884148
792752,936030,-6.832345760884148
792752,7210236,-6.849339908520173
792752,4926201,-6.852997343032913
792752,1456722,-6.852997343032913
792752,8075229,-6.852997343032913
792752,1694164,-6.852997343032913
792752,2076096,-6.852997343032913
792752,665982,-6.864465307517209
792752,8666254,-6.8679744089702925
792752,7200354,-6.963006858046505
792752,424997,-6.963006858046505
792752,8645,-6.990037235906425
792752,6323038,-6.990037235906425
792752,7208247,-6.990037235906425
792752,167601,-6.990037235906425
792752,1004834,-6.990037235906425
792752,7208245,-6.990037235906425
792752,3167615,-6.990037235906425
792752,1199606,-6.990037235906425
792752,5230967,-6.990037235906425
792752,3739645,-6.990037235906425
792752,7682192,-6.990037235906425
792752,7225336,-6.990037235906425
792752,4619236,-6.990037235906425
792752,2163286,-6.990144200247825
792752,8144663,-6.990144200247825
792752,5169247,-7.021165129826297
792752,7174628,-7.021165129826297
792752,546258,-7.021165129826297
792752,5335848,-7.021165129826297
792752,1219519,-7.021165129826297
792752,1032567,-7.021165129826297
792752,5162627,-7.021165129826297
792752,5098774,-7.021165129826297
792752,5098774,-7.021165129826297
792752,7223484,-7.021165129826297
792752,8556435,-7.021165129826297
792752,4061734,-7.021165129826297
792752,8064893,-7.021165129826297
792752,8064893,-7.021165129826297
792752,8064893,-7.021165129826297
792752,8495785,-7.0705596516081135
792752,7126830,-7.0705596516081135
792752,8359187,-7.0705596516081135
792752,345580,-7.082753336331198
792752,8626561,-7.093363777586091
792752,7762717,-7.118286292245503
792752,5163231,-7.118286292245503
792752,5163235,-7.118286292245503
792752,462226,-7.118286292245503
792752,8603744,-7.118286292245503
792752,6982580,-7.118286292245503
792752,5231365,-7.122873923902536
792752,5231365,-7.122873923902536
792752,5231365,-7.122873923902536
792752,8184309,-7.16583547449418
792752,573203,-7.171263354339279
792752,7921007,-7.172622611633005
792752,597440,-7.172622611633005
792752,2678052,-7.193685818395111
792752,7575687,-7.193685818395111
792752,8511610,-7.193685818395111
792752,7233459,-7.193685818395111
792752,4063910,-7.193685818395111
792752,3271699,-7.193685818395111
792752,50191,-7.193685818395111
792752,3790251,-7.193685818395111
792752,1367030,-7.193685818395111
792752,4764146,-7.193685818395111
792752,4764146,-7.193685818395111
792752,4764146,-7.193685818395111
1119729,4840638,-17.50190892089911
1119729,425836,-17.879754779789415
1119729,5836455,-18.57619830959302
1119729,583628,-18.62351091632665
1119729,974759,-18.7081048532776
1119729,4979931,-18.7818355895849
1119729,4006310,-18.94922232575147
1119729,8557131,-19.07448981257517
1119729,4594471,-19.155788368771876
1119729,6695217,-19.17300910963952
1119729,2190622,-19.205796297206028
1119729,6356913,-19.487034386801046
1119729,419283,-19.49872051906434
1119729,419283,-19.49872051906434
1119729,419283,-19.49872051906434
1119729,7223484,-19.770241059628788
1119729,2787846,-19.869452639443125
1119729,7460065,-19.87147122070599
1119729,2004681,-19.87147122070599
1119729,2004681,-19.87147122070599
1119729,8075227,-20.11761662603664
1119729,1219407,-20.197182630130808
1119729,2599025,-20.197182630130808
1119729,8626561,-20.235969379336233
1119729,583621,-20.283724302495536
1119729,7233459,-20.28780312533523
1119729,6188699,-20.416323973820727
1119729,5876399,-20.468048856376154
1119729,1849447,-20.5166141058738
1119729,8537209,-20.528867969211433
1119729,8075229,-20.55899202909874
1119729,8603744,-20.575929343213062
1119729,7903982,-20.628805147236193
1119729,6123256,-20.66984978015699
1119729,6123256,-20.66984978015699
1119729,7480740,-20.699288880013086
1119729,1303638,-20.711156446344567
1119729,8362077,-20.73069185005024
1119729,734866,-20.78028871665115
1119729,2732196,-20.78028871665115
1119729,8469497,-20.78028871665115
1119729,7457368,-20.822748692077266
1119729,7457368,-20.822748692077266
1119729,7457368,-20.822748692077266
1119729,6734975,-20.822748692077266
1119729,425715,-20.822748692077266
1119729,8362076,-20.873108731585337
1119729,4628316,-20.88596754539952
1119729,8081541,-20.88596754539952
1119729,6800870,-20.89466481681296
1119729,5123845,-20.896845098713296
1119729,1316682,-20.93443029026028
1119729,5230967,-20.970111707719276
1119729,8488056,-20.976112163654253
1119729,4163465,-20.976112163654253
1119729,982584,-20.99831877338563
1119729,2214687,-21.024941932808975
1119729,941246,-21.024941932808975
1119729,5169247,-21.06349538947889
1119729,7174628,-21.06349538947889
1119729,546258,-21.06349538947889
1119729,1219519,-21.06349538947889
1119729,4061734,-21.06349538947889
1119729,6800871,-21.13612783605547
1119729,581839,-21.205619194023793
1119729,8166987,-21.205619194023793
1119729,1303633,-21.209891539528115
1119729,8495785,-21.21167895482434
1119729,7126830,-21.21167895482434
1119729,5876400,-21.23179028206034
1119729,4086704,-21.238832524735486
1119729,1738235,-21.252094030032758
1119729,7210236,-21.326949259083968
1119729,7174629,-21.335761959367666
1119729,3329759,-21.348162877222418
1119729,583622,-21.34994658056234
1119729,462226,-21.35485887673651
1119729,8274265,-21.365942781387968
1119729,4552178,-21.38020607532545
1119729,8274266,-21.388236097060716
1119729,917061,-21.403909891230274
1119729,573203,-21.513790063017836
1119729,6083378,-21.542804702239444
1119729,1526424,-21.57090438243789
1119729,7132895,-21.57090438243789
1119729,544630,-21.57090438243789
1119729,4907924,-21.57090438243789
1119729,8597375,-21.57090438243789
1119729,4219959,-21.581057455185334
1119729,1281892,-21.58162119223592
1119729,4704744,-21.599401096401472
1119729,3416300,-21.60167822560071
1119729,7246420,-21.60167822560071
1119729,4275466,-21.60167822560071
1119729,2784599,-21.60167822560071
1119729,2378998,-21.60167822560071
1119729,8227563,-21.60167822560071
1119729,919272,-21.60167822560071
1119729,8055138,-21.60167822560071
1119729,665982,-21.601889227887522
1105095,4036648,-15.758578775269815
1105095,8208165,-15.928010798947584
1105095,6356913,-16.517608839609835
1105095,1409477,-16.529828062840398
1105095,8013005,-16.785266909588593
1105095,8208160,-16.83191286750636
1105095,8208159,-17.014139989379697
1105095,3598029,-17.035199606329137
1105095,7971541,-17.17645522776545
1105095,8362015,-17.17645522776545
1105095,7670064,-17.24608620075446
1105095,524839,-17.633184873684502
1105095,1253552,-17.774426991987934
1105095,7711396,-18.105233296039877
1105095,1817683,-18.105233296039877
1105095,7670063,-18.152172173008964
1105095,870208,-18.53653501746191
1105095,2662003,-18.567860333521537
1105095,6761383,-18.567860333521537
1105095,6761383,-18.567860333521537
1105095,6761383,-18.567860333521537
1105095,3678010,-18.567860333521537
1105095,2062100,-18.696368489132208
1105095,7576782,-18.756678278551924
1105095,1234935,-18.77503524466398
1105095,8208163,-18.857450772962146
1105095,1383444,-18.911916974607323
1105095,1546276,-18.911916974607323
1105095,8167862,-18.915504112408208
1105095,1032704,-18.92772333563877
1105095,5107567,-18.933568905483963
1105095,3517076,-18.933568905483963
1105095,5096481,-18.933568905483963
1105095,2317459,-18.933568905483963
1105095,1023619,-18.98231080252708
1105095,5141781,-18.98231080252708
1105095,2440725,-19.254516706791104
1105095,6708663,-19.30138174136905
1105095,7488419,-19.31536843166179
1105095,8208162,-19.31536843166179
1105095,7473373,-19.32283872190027
1105095,6620151,-19.397486945577032
1105095,7576784,-19.45730030219021
1105095,5041867,-19.509775094860828
1105095,2172481,-19.574350500563824
1105095,6143709,-19.574350500563824
1105095,6942251,-19.574350500563824
1105095,4512580,-19.5751393476388
1105095,3598032,-19.591335933881417
1105095,8133813,-19.59282428653158
1105095,5966040,-19.619272907066453
1105095,7116361,-19.625000670379293
1105095,2537752,-19.643981473552827
1105095,4248214,-19.643981473552827
1105095,4285555,-19.643981473552827
1105095,5415258,-19.659128163621627
1105095,1139027,-19.659128163621627
1105095,4031161,-19.659128163621627
1105095,4840638,-19.659128163621627
1105095,3658050,-19.659128163621627
1105095,4121226,-19.778393370886022
1105095,7576781,-19.822559645889232
1105095,3771517,-19.876435305229784
1105095,4285556,-19.879676187612247
1105095,2440474,-19.903440280882283
1105095,1898327,-19.9480089062941
1105095,6391424,-19.961995596586842
1105095,8017674,-19.964604114400522
1105095,304314,-19.964604114400522
1105095,6146752,-19.964604114400522
1105095,6146752,-19.964604114400522
1105095,2591980,-19.982289053293304
1105095,2510984,-20.031080146482875
1105095,3607586,-20.03801489808681
1105095,4121225,-20.05797823310518
1105095,4505613,-20.077606708601362
1105095,5977790,-20.134186961878374
1105095,5041868,-20.14989980073047
1105095,1420016,-20.14989980073047
1105095,2598780,-20.156402259785878
1105095,4859941,-20.156402259785878
1105095,6944981,-20.156402259785878
1105095,7038254,-20.156402259785878
1105095,2840902,-20.160602679045613
1105095,6847368,-20.167190194381693
1105095,5986783,-20.186803634772684
1105095,2470961,-20.212024412650955
1105095,7576785,-20.212024412650955
1105095,4540745,-20.230298849058162
1105095,6757279,-20.232719003161034
1105095,3567590,-20.25052153040865
1105095,6507177,-20.265900071991506
1105095,337035,-20.265900071991506
1105095,8462889,-20.265900071991506
1105095,6843397,-20.265900071991506
1105095,8585500,-20.265900071991506
1105095,4162318,-20.265900071991506
1105095,1350744,-20.29060863847788
1105095,3853483,-20.31287958241748
1105095,4540743,-20.370265467404863
1105103,8224799,-16.443495456693245
1105103,8224803,-16.443495456693245
1105103,2171098,-17.509846883143133
1105103,2510984,-17.633184873684502
1105103,8826841,-18.279812038609556
1105103,2542397,-18.286941740558913
1105103,8570826,-18.286941740558913
1105103,1755040,-18.53653501746191
1105103,2108371,-18.53653501746191
1105103,7145334,-18.538258568877048
1105103,7145334,-18.538258568877048
1105103,7145334,-18.538258568877048
1105103,5713840,-18.538258568877048
1105103,2662003,-18.567860333521537
1105103,6761383,-18.567860333521537
1105103,6761383,-18.567860333521537
1105103,6761383,-18.567860333521537
1105103,3678010,-18.567860333521537
1105103,3089693,-18.654754576443995
1105103,3089690,-18.654754576443995
1105103,1311188,-18.75186046096493
1105103,2131643,-18.75186046096493
1105103,8341142,-18.798799337934017
1105103,643305,-18.915504112408208
1105103,173383,-18.915504112408208
1105103,173383,-18.915504112408208
1105103,3538985,-18.915504112408208
1105103,8039227,-18.92772333563877
1105103,7017941,-18.933568905483963
1105103,3219570,-18.974931844571945
1105103,6214888,-18.997354308627774
1105103,1148862,-19.089380406886765
1105103,769001,-19.1505005242686
1105103,5400856,-19.153201851889232
1105103,5400856,-19.153201851889232
1105103,1539595,-19.183162182386965
1105103,75986,-19.183162182386965
1105103,1788093,-19.183162182386965
1105103,6717786,-19.183162182386965
1105103,7096687,-19.183162182386965
1105103,8037206,-19.183162182386965
1105103,7886400,-19.183162182386965
1105103,8274891,-19.254516706791104
1105103,7905178,-19.30138174136905
1105103,1767117,-19.509775094860828
1105103,2389974,-19.509775094860828
1105103,2978915,-19.509775094860828
1105103,3804830,-19.509775094860828
1105103,7357592,-19.509775094860828
1105103,8020700,-19.51397551412056
1105103,127602,-19.56560484898522
1105103,3233453,-19.574350500563824
1105103,1040465,-19.574350500563824
1105103,7795952,-19.574350500563824
1105103,1311655,-19.574350500563824
1105103,3538978,-19.574350500563824
1105103,2490152,-19.574350500563824
1105103,5191271,-19.574350500563824
1105103,4145723,-19.574350500563824
1105103,363015,-19.574350500563824
1105103,2946270,-19.574350500563824
1105103,8129649,-19.574350500563824
1105103,1562029,-19.574350500563824
1105103,1562029,-19.574350500563824
1105103,1562029,-19.574350500563824
1105103,8362015,-19.574350500563824
1105103,1884917,-19.574350500563824
1105103,2306999,-19.574350500563824
1105103,6942251,-19.574350500563824
1105103,425836,-19.574350500563824
1105103,970905,-19.574350500563824
1105103,7929718,-19.574350500563824
1105103,8138793,-19.580196070409016
1105103,6057316,-19.580196070409016
1105103,2469314,-19.580196070409016
1105103,2900243,-19.580196070409016
1105103,8656733,-19.580196070409016
1105103,5089003,-19.580196070409016
1105103,5648911,-19.580196070409016
1105103,8571778,-19.580196070409016
1105103,2095129,-19.580196070409016
1105103,2095129,-19.580196070409016
1105103,3540297,-19.615825373837346
1105103,3540297,-19.615825373837346
1105103,6798536,-19.619272907066453
1105103,7543732,-19.643981473552827
1105103,2813781,-19.643981473552827
1105103,6472425,-19.643981473552827
1105103,5415258,-19.659128163621627
1105103,1139027,-19.659128163621627
1105103,4031161,-19.659128163621627
1105103,4840638,-19.659128163621627
1105103,3658050,-19.659128163621627
1105103,5545114,-19.662764250806433
1105103,4386577,-19.662764250806433
1105103,6645942,-19.78285749802458
1105103,8208071,-19.786951712338755
1105103,5781371,-19.786951712338755
1105103,2361371,-19.79712768919365
1105103,6125594,-19.80793514542331
1128373,8656493,-3.684299087760357
1128373,1645521,-3.7770935083507866
1128373,1645521,-3.7770935083507866
1128373,1645521,-3.7770935083507866
1128373,8137674,-5.4808373163592075
1128373,8137674,-5.4808373163592075
1128373,8137674,-5.4808373163592075
1128373,1562029,-5.744375871621454
1128373,1562029,-5.744375871621454
1128373,1562029,-5.744375871621454
1128373,7457368,-5.796253829197373
1128373,7457368,-5.796253829197373
1128373,7457368,-5.796253829197373
1128373,7021144,-5.796253829197373
1128373,7021144,-5.796253829197373
1128373,7021144,-5.796253829197373
1128373,1733656,-5.823852455548252
1128373,7175159,-5.965694148032011
1128373,7175159,-5.965694148032011
1128373,7021142,-5.977196575310277
1128373,7021142,-5.977196575310277
1128373,7021142,-5.977196575310277
1128373,4914405,-5.977196575310277
1128373,4914405,-5.977196575310277
1128373,4914405,-5.977196575310277
1128373,3538985,-6.12746448128426
1128373,6985421,-6.12746448128426
1128373,8381938,-6.185718595959096
1128373,8381938,-6.185718595959096
1128373,8381938,-6.185718595959096
1128373,7132237,-6.185718595959096
1128373,7132237,-6.185718595959096
1128373,7132237,-6.185718595959096
1128373,1881689,-6.185718595959096
1128373,1881689,-6.185718595959096
1128373,1881689,-6.185718595959096
1128373,1336817,-6.185718595959096
1128373,1336817,-6.185718595959096
1128373,1336817,-6.185718595959096
1128373,7707248,-6.185718595959096
1128373,7707248,-6.185718595959096
1128373,7707248,-6.185718595959096
1128373,6099568,-6.316407441917157
1128373,6099568,-6.316407441917157
1128373,6099568,-6.316407441917157
1128373,7445201,-6.374537964901245
1128373,7445201,-6.374537964901245
1128373,260319,-6.374537964901245
1128373,260319,-6.374537964901245
1128373,260319,-6.374537964901245
1128373,130855,-6.374537964901245
1128373,130855,-6.374537964901245
1128373,130855,-6.374537964901245
1128373,1115391,-6.374537964901245
1128373,1115391,-6.374537964901245
1128373,1115391,-6.374537964901245
1128373,2318591,-6.374537964901245
1128373,2318591,-6.374537964901245
1128373,2318591,-6.374537964901245
1128373,1526424,-6.391003036546507
1128373,3233453,-6.391003036546507
1128373,1348383,-6.391003036546507
1128373,3538978,-6.391003036546507
1128373,5200528,-6.391003036546507
1128373,6373938,-6.391003036546507
1128373,6226492,-6.463532576271191
1128373,6226492,-6.463532576271191
1128373,6226492,-6.463532576271191
1128373,7190176,-6.463532576271191
1128373,7190176,-6.463532576271191
1128373,7190176,-6.463532576271191
1128373,7530934,-6.463532576271191
1128373,7530934,-6.463532576271191
1128373,7530934,-6.463532576271191
1128373,6063126,-6.463532576271191
1128373,6063126,-6.463532576271191
1128373,6063126,-6.463532576271191
1128373,6876558,-6.463532576271191
1128373,6876558,-6.463532576271191
1128373,6876558,-6.463532576271191
1128373,5125375,-6.465168429807326
1128373,5125375,-6.465168429807326
1128373,5125375,-6.465168429807326
1128373,3884882,-6.465168429807326
1128373,3884882,-6.465168429807326
1128373,3884882,-6.465168429807326
1128373,8027344,-6.547058653470059
1128373,8027344,-6.547058653470059
1128373,8027344,-6.547058653470059
1128373,7525588,-6.547058653470059
1128373,7525588,-6.547058653470059
1128373,7525588,-6.547058653470059
1128373,1000530,-6.547058653470059
1128373,1000530,-6.547058653470059
1128373,7610309,-6.547058653470059
1128373,7610309,-6.547058653470059
1128373,7610309,-6.547058653470059
1128373,2712186,-6.547058653470059
1128373,2712186,-6.547058653470059
1128373,2712186,-6.547058653470059
1127622,2953604,-6.338892701155438
1127622,3003133,-7.536831046923192
1127622,955245,-7.825796650346312
1127622,244617,-8.319416314393886
1127622,7208001,-8.486118590525658
1127622,3627605,-8.82990995651943
1127622,8534914,-8.944953926268429
1127622,7208022,-8.962794634997927
1127622,955252,-9.014397193850987
1127622,8623597,-9.041940315206935
1127622,5047605,-9.13274575545071
1127622,955246,-9.16095876321047
1127622,8089368,-9.16095876321047
1127622,1419316,-9.195523870636858
1127622,5899880,-9.255421053436555
1127622,6419041,-9.27831064193132
1127622,2711483,-9.306831529282512
1127622,2953606,-9.326513695582966
1127622,1345497,-9.326513695582966
1127622,3382813,-9.335945794061134
1127622,8176059,-9.379065753217539
1127622,910236,-9.396760067655048
